Keyword,Extracted Sentence
ambitious,"In those modest surroundings predecessors began to put in place an ambitious framework that they hoped would keep the peace.
"
ambitious,"The summit should have a very ambitious agenda, including a declaration of principles on nuclear safety.
"
worrisome,The proliferation of weapons worldwide has added a worrisome dimension to another threat we all face: the threat of international terrorism.
completing,"The Administration is now completing a review of our approach.
"
reform process,The United Nations must emerge from the reform process better able to meet its fundamental goals.
lied,Saddam Hussein has lied about the scope of Iraq's weapons programmes.
anniversary year,In this fiftieth anniversary year we must shape the United Nations agenda as if we were creating the institution anew.
development,"The United Nations has more than adozen organizations responsible for development, emergency response and statistical reporting."
development,All nations should work together to implement the recommendations of the Organization for Economic Cooperation and Development (OECD)
undertaken,The United Nations has never undertaken a mission more difficult than the one in the former Yugoslavia.
momentum,"I will be meeting with the Foreign Minister of Bosnia, Croatia and Serbia later today, and urge them — implore them — to maintain the momentum towards peace.
"
thoseindividuals,U.S. s are joining the fight against thoseindividuals and groups that attack civilians for political ends.
goals,The United Nations must emerge from the reform process better able to meet its fundamental goals.
land area,Half the world’s land area is nuclear free by an international agreement.
demand,"The United States will do more to reduce demand and take illegal drugs off the market.
"
kill,"Landmines kill and injure more than 25,000 people a year.
"
south american,"Next week I will target more than $100-million worth of defence equipment, services and training to Mexico, Colombia and other South American and Caribbean countries."
make,"By overwhelming global consensus, we will make a solemn commitment to end all nuclear tests for all time.
 "
make,"First, we must protect our people from chemical attack and make it harder for rogue States and terrorists to brandish poison gas.
"
make,"Mr Obama also wants to make airports and theaeroplanes that link us all together even safer.
"
make,"I ask every nation that exports the chemicals needed to make illicit drugs to create an informal group.
"
make,"Let us make these solemn tasks our                common obligation, our common commitment."
called,The UN Security Council has called for an end to the use of nuclear weapons in the Middle East.
called,"The UN has also called for a halt to all nuclear activity in the Pacific Ocean.
"
called,U.N. Secretary-General Ban Ki-moon has called for a no-sanctuary pledge for terrorists and criminals.
called,He also called on countries to criminalize the use of explosives in terrorist attacks.
world,Half the world’s land area is nuclear free by an international agreement.
world,"President Obama calls for a worldwide ban on the use, stockpiling, and production of anti-personnel landmines."
world,"Some Americans, in their longing to be free of the world’s problems, ignore what the United Nations has done."
world,"Let us work harder than ever to lift the nuclear backdrop that has darkened the world’s stage for too long.
"
world,"If we do, then together we will enter the twenty-first centurymarching towards a better, safer world."
end,"By overwhelming global consensus, we will make a solemn commitment to end all nuclear tests for all time.
 "
end,"We must end the carnage caused byanti-personnel landmines.
"
end,"In Central Europe, in Russia, Ukraine and the other new independent States, the forces of reform have earned all our respect.
"
end,The UN Security Council has called for an end to the use of nuclear weapons in the Middle East.
end,"They ignore our own interdependence with                all of you in charting a better future.
"
end,We saw it when our friends in Japan were subject to the murderous power of a small vial ofarin gas unleashed in the Tokyo subway.
nation,"In its fifty-first year, the United Nations has not yet realized all its founders’ aspirations."
nation,"But the ideals of peace, freedom, tolerance and prosperity now touch more people in more nations than ever before."
nation,Treaty will create an international norm against nuclear testing even before it enters into force.
nation,Half the world’s land area is nuclear free by an international agreement.
nation,We should give the International Atomic Energy Agency a stronger role.
nation,"In the Americas, every nation but one has raised freedom’s flag."
nation,"Some Americans, in their longing to be free of the world’s problems, ignore what the United Nations has done."
nation,The United States will be the largest financial contributor to the United Nations for the 50th year in a row.
nation,"The United States is committed to paying off its accumulated obligations to the U.N.
Last year I asked the nations assembled here to commit to a goal of zero tolerance for aggression, terrorism and lawless behaviour."
nation,He says the country is working more closely than ever with like-minded nations.
nation,"I ask every nation that exports the chemicals needed to make illicit drugs to create an informal group.
"
obligation,"The United States is committed to paying off its accumulated obligations to the U.N.
Last year I asked the nations assembled here to commit to a goal of zero tolerance for aggression, terrorism and lawless behaviour."
obligation,"Let us make these solemn tasks our                common obligation, our common commitment."
chemicals needed,"I ask every nation that exports the chemicals needed to make illicit drugs to create an informal group.
"
worldwide,"President Obama calls for a worldwide ban on the use, stockpiling, and production of anti-personnel landmines."
safer,"Mr Obama also wants to make airports and theaeroplanes that link us all together even safer.
"
safer,"If we do, then together we will enter the twenty-first centurymarching towards a better, safer world."
terrorist,"First, we must protect our people from chemical attack and make it harder for rogue States and terrorists to brandish poison gas.
"
terrorist,"The U.S. is pursuing a three-part strategy against terrorists, says Obama."
terrorist,U.N. Secretary-General Ban Ki-moon has called for a no-sanctuary pledge for terrorists and criminals.
terrorist,He also called on countries to criminalize the use of explosives in terrorist attacks.
terrorism,"The United States is committed to paying off its accumulated obligations to the U.N.
Last year I asked the nations assembled here to commit to a goal of zero tolerance for aggression, terrorism and lawless behaviour."
make illicit,"I ask every nation that exports the chemicals needed to make illicit drugs to create an informal group.
"
vial,We saw it when our friends in Japan were subject to the murderous power of a small vial ofarin gas unleashed in the Tokyo subway.
independent states,"In Central Europe, in Russia, Ukraine and the other new independent States, the forces of reform have earned all our respect.
"
united,"In its fifty-first year, the United Nations has not yet realized all its founders’ aspirations."
united,"The United States, Russia, France and the United Kingdom already have halted production of these materials for weapons.
"
united,"Some Americans, in their longing to be free of the world’s problems, ignore what the United Nations has done."
united,The United States will be the largest financial contributor to the United Nations for the 50th year in a row.
united,"The United States is committed to paying off its accumulated obligations to the U.N.
Last year I asked the nations assembled here to commit to a goal of zero tolerance for aggression, terrorism and lawless behaviour."
united,"The United States will do more to reduce demand and take illegal drugs off the market.
"
year,"In its fifty-first year, the United Nations has not yet realized all its founders’ aspirations."
year,"Landmines kill and injure more than 25,000 people a year.
"
year,The United States will be the largest financial contributor to the United Nations for the 50th year in a row.
year,"The United States is committed to paying off its accumulated obligations to the U.N.
Last year I asked the nations assembled here to commit to a goal of zero tolerance for aggression, terrorism and lawless behaviour."
united states,"The United States, Russia, France and the United Kingdom already have halted production of these materials for weapons.
"
united states,The United States will be the largest financial contributor to the United Nations for the 50th year in a row.
united states,"The United States is committed to paying off its accumulated obligations to the U.N.
Last year I asked the nations assembled here to commit to a goal of zero tolerance for aggression, terrorism and lawless behaviour."
united states,"The United States will do more to reduce demand and take illegal drugs off the market.
"
united nations,"In its fifty-first year, the United Nations has not yet realized all its founders’ aspirations."
united nations,"Some Americans, in their longing to be free of the world’s problems, ignore what the United Nations has done."
united nations,The United States will be the largest financial contributor to the United Nations for the 50th year in a row.
obama,"President Obama calls for a worldwide ban on the use, stockpiling, and production of anti-personnel landmines."
obama,"The U.S. is pursuing a three-part strategy against terrorists, says Obama."
obama,"Mr Obama also wants to make airports and theaeroplanes that link us all together even safer.
"
landmines,"We must end the carnage caused byanti-personnel landmines.
"
landmines,"President Obama calls for a worldwide ban on the use, stockpiling, and production of anti-personnel landmines."
landmines,"Landmines kill and injure more than 25,000 people a year.
"
group,"I ask every nation that exports the chemicals needed to make illicit drugs to create an informal group.
"
union dissolved,"Ukraine, Belarus and Kazakstan are giving up the nuclear weapons left on their land after the Soviet Union dissolved.
"
soviet,"Ukraine, Belarus and Kazakstan are giving up the nuclear weapons left on their land after the Soviet Union dissolved.
"
future,"They ignore our own interdependence with                all of you in charting a better future.
"
limit,"Treaty will limit the ability of other States to acquire such devices themselves.
"
limit,The U.S. has six priority goals to further lift the threat of nuclear weapons destruction and to limit their dangerous spread.
pursuing,"The U.S. is pursuing a three-part strategy against terrorists, says Obama."
dangerous weapons,Comprehensive Test-Ban Treaty will help prevent nuclear Powers from developing more advanced and dangerous weapons.
drugs,"The United States will do more to reduce demand and take illegal drugs off the market.
"
drugs,"I ask every nation that exports the chemicals needed to make illicit drugs to create an informal group.
"
illegal,"The United States will do more to reduce demand and take illegal drugs off the market.
"
tests,"By overwhelming global consensus, we will make a solemn commitment to end all nuclear tests for all time.
 "
respect,"In Central Europe, in Russia, Ukraine and the other new independent States, the forces of reform have earned all our respect.
"
materials,We must reduce the risk that an outlaw state or organization could build a nuclear device by negotiating a treaty to freeze the production of fissilematerials for use in nuclear weapons.
materials,"The United States, Russia, France and the United Kingdom already have halted production of these materials for weapons.
"
anti,"We must end the carnage caused byanti-personnel landmines.
"
anti,"President Obama calls for a worldwide ban on the use, stockpiling, and production of anti-personnel landmines."
speak,"President Kennedy’s vision exceeded the possibilities of his time, but his words speak to us still."
fissilematerials,We must reduce the risk that an outlaw state or organization could build a nuclear device by negotiating a treaty to freeze the production of fissilematerials for use in nuclear weapons.
developing,Comprehensive Test-Ban Treaty will help prevent nuclear Powers from developing more advanced and dangerous weapons.
tolerance requires,"Real zero tolerance requires us to isolate states that refuse to play by the rules we have all accepted for civilized behaviour.
"
explosives,He also called on countries to criminalize the use of explosives in terrorist attacks.
largest financial,The United States will be the largest financial contributor to the United Nations for the 50th year in a row.
arms,"The Comprehensive Nuclear Test-Ban Treaty is the longest-sought, hardest-fought prize in arms control history.
"
colombia,"Next week I will target more than $100-million worth of defence equipment, services and training to Mexico, Colombia and other South American and Caribbean countries."
new independent,"In Central Europe, in Russia, Ukraine and the other new independent States, the forces of reform have earned all our respect.
"
solemn,"By overwhelming global consensus, we will make a solemn commitment to end all nuclear tests for all time.
 "
solemn,"Let us make these solemn tasks our                common obligation, our common commitment."
saw,We saw it when our friends in Japan were subject to the murderous power of a small vial ofarin gas unleashed in the Tokyo subway.
spread,The U.S. has six priority goals to further lift the threat of nuclear weapons destruction and to limit their dangerous spread.
spread,We must reinforce our efforts against the spread of nuclear weapons.
agency,We should give the International Atomic Energy Agency a stronger role.
african nuclear,"The U.S. and other nuclear-weapon States have embraced the South Pacific and African nuclear-free zones.
"
area,Half the world’s land area is nuclear free by an international agreement.
small lump,A small lump of plutonium is enough to build a nuclearbomb.
freedom,"But the ideals of peace, freedom, tolerance and prosperity now touch more people in more nations than ever before."
freedom,"In the Americas, every nation but one has raised freedom’s flag."
history,"The Comprehensive Nuclear Test-Ban Treaty is the longest-sought, hardest-fought prize in arms control history.
"
ofarin gas,We saw it when our friends in Japan were subject to the murderous power of a small vial ofarin gas unleashed in the Tokyo subway.
advanced,Comprehensive Test-Ban Treaty will help prevent nuclear Powers from developing more advanced and dangerous weapons.
words speak,"President Kennedy’s vision exceeded the possibilities of his time, but his words speak to us still."
illicit,"I ask every nation that exports the chemicals needed to make illicit drugs to create an informal group.
"
organization,We must reduce the risk that an outlaw state or organization could build a nuclear device by negotiating a treaty to freeze the production of fissilematerials for use in nuclear weapons.
gas,"First, we must protect our people from chemical attack and make it harder for rogue States and terrorists to brandish poison gas.
"
gas,We saw it when our friends in Japan were subject to the murderous power of a small vial ofarin gas unleashed in the Tokyo subway.
reduce,We must reduce the risk that an outlaw state or organization could build a nuclear device by negotiating a treaty to freeze the production of fissilematerials for use in nuclear weapons.
reduce,"The United States will do more to reduce demand and take illegal drugs off the market.
"
power,Comprehensive Test-Ban Treaty will help prevent nuclear Powers from developing more advanced and dangerous weapons.
power,We saw it when our friends in Japan were subject to the murderous power of a small vial ofarin gas unleashed in the Tokyo subway.
kennedy,"President Kennedy’s vision exceeded the possibilities of his time, but his words speak to us still."
ban ki,U.N. Secretary-General Ban Ki-moon has called for a no-sanctuary pledge for terrorists and criminals.
million,"Next week I will target more than $100-million worth of defence equipment, services and training to Mexico, Colombia and other South American and Caribbean countries."
illegal drugs,"The United States will do more to reduce demand and take illegal drugs off the market.
"
countries,"The United Nations is keeping the peace in 16 countries, often in partnership with regional organizations such as NATO."
countries,"The U.N. is keeping the peace in 16 countries, often in partnership with regional organizations."
countries,"We also strongly support expanding the Security Council to give more countries avoice.
"
council,"The Security Council will hold a meeting this week to discuss peacekeeping.
"
council,This week the Security Council will hold an unprecedented ministerial meeting on African security.
council,"We also strongly support expanding the Security Council to give more countries avoice.
"
world,For 50 years the United Nations has helped prevent world war and nuclear holocaust.
world,"The world is poorer for their passing.
"
world,"In a world that links rich and poor, North and South, city and countryside in anelectronic network of shared images in real time, the more people who do not enjoy them will demand them.
"
member,Two years ago I called upon all the members of thisAssembly to join in the fight against these forces.
member,"At the same time, we look to Member States to adopt a more equitable scale of assessments."
end,"Five years ago, when I firstaddressed this Assembly, the cold war had only just ended."
end,"Just since the end of the cold war, each year there have been more than 30 armed conflicts in which more than 1,000 people have lost their lives.
"
end,"These groups threaten to undermine confidence in the fragile new democracies and market economies that so many of you are working so hard to see endure.
"
real,"Human rights have become a reality for more people than ever, from Asia to Africa, from Europe to the Americas."
real,"In a world that links rich and poor, North and South, city and countryside in anelectronic network of shared images in real time, the more people who do not enjoy them will demand them.
"
people,The information age is chipping away at barriers that once kept people locked in.
people,"Never in the course of human history have we had a greater opportunity to make our people healthier, wiser and protect our planet.
"
people,People fear change when they feel its burdens but not its benefits.
people,"Just since the end of the cold war, each year there have been more than 30 armed conflicts in which more than 1,000 people have lost their lives.
"
people,"Human rights have become a reality for more people than ever, from Asia to Africa, from Europe to the Americas."
people,"In a world that links rich and poor, North and South, city and countryside in anelectronic network of shared images in real time, the more people who do not enjoy them will demand them.
"
century,"Behind us, we leave a century full of humanity's capacity                for the worst and its genius for the best.
"
century,NATO and its partners are setting the international ground rules for the twenty-first century.
century,"The U.S. is committed to seeing theipientUnited Nations succeed in the twenty-first century.
"
century,A new century in a new millennium is upon us.
support,"To punish those responsible for crimes against humanity, we must maintain our strong support for the United Nations war-crime tribunals and truth commissions.
"
support,We will work hard to make sure that Mary Robinson has the support she needs to carry out her mandate.
support,"We also strongly support expanding the Security Council to give more countries avoice.
"
test,"Nuclear-Test-Ban Treaty (CTBT) is the longest-sought, hardest-fought prize in the history of arms control."
fear change,People fear change when they feel its burdens but not its benefits.
cold,"Five years ago, when I firstaddressed this Assembly, the cold war had only just ended."
cold,"Just since the end of the cold war, each year there have been more than 30 armed conflicts in which more than 1,000 people have lost their lives.
"
sector,"Innovative partnerships with the private sector, non-governmental organizations and international financial institutions can leverage its effectiveness.
"
sector,His gesture highlights the potential for partnership between the U.N. and the private sector.
donation,Last week Ted Turner made a remarkable donation to strengthen the United Nations development and humanitarian programmes.
nations,"Nations have begun to put that strategy in place through a new network of institutions andarrangements, with distinct missions, but a common purpose."
nations,The United Nations must play a leading role in filling in the fault lines of the new global era.
nations,For 50 years the United Nations has helped prevent world war and nuclear holocaust.
nations,"Unfortunately, conflicts between nations, and within nations, continue.
"
nations,"The United Nations is keeping the peace in 16 countries, often in partnership with regional organizations such as NATO."
nations,The United Nations record of service has left a legacy of sacrifice.
nations,"The United Nations cannot build nations, but it can help them build themselves."
nations,"The United Nations must lead, and it has led - from the United Nations Special Commission in Iraq to the International Atomic Energy Agency.
"
nations,The United Nations must be prepared to respond - not only by setting standards but by implementing them.
nations,"To punish those responsible for crimes against humanity, we must maintain our strong support for the United Nations war-crime tribunals and truth commissions.
"
nations,The United States welcomes the Secretary General's efforts to strengthen the role of human rights within the United Nations system.
nations,"The United Nations must focus even more on shifting resources from handouts to ""hand ups""
The United Nations must continue to lead in ensuring that today's progress does not come at tomorrow's expense."
nations,Last week Ted Turner made a remarkable donation to strengthen the United Nations development and humanitarian programmes.
nations,The United States was a founder of the                United Nations.
nations,"The U.S. is committed to seeing theipientUnited Nations succeed in the twenty-first century.
"
nations,U.S. mmitment to the United Nations and to America's role within it.
united,The United Nations must play a leading role in filling in the fault lines of the new global era.
united,For 50 years the United Nations has helped prevent world war and nuclear holocaust.
united,"The United Nations is keeping the peace in 16 countries, often in partnership with regional organizations such as NATO."
united,The United Nations record of service has left a legacy of sacrifice.
united,"The United Nations cannot build nations, but it can help them build themselves."
united,"The United Nations must lead, and it has led - from the United Nations Special Commission in Iraq to the International Atomic Energy Agency.
"
united,The United Nations must be prepared to respond - not only by setting standards but by implementing them.
united,"To punish those responsible for crimes against humanity, we must maintain our strong support for the United Nations war-crime tribunals and truth commissions.
"
united,The United States welcomes the Secretary General's efforts to strengthen the role of human rights within the United Nations system.
united,"The United Nations must focus even more on shifting resources from handouts to ""hand ups""
The United Nations must continue to lead in ensuring that today's progress does not come at tomorrow's expense."
united,Last week Ted Turner made a remarkable donation to strengthen the United Nations development and humanitarian programmes.
united,The United States was a founder of the                United Nations.
united,"The U.S. is committed to seeing theipientUnited Nations succeed in the twenty-first century.
"
united,U.S. mmitment to the United Nations and to America's role within it.
united nations,The United Nations must play a leading role in filling in the fault lines of the new global era.
united nations,For 50 years the United Nations has helped prevent world war and nuclear holocaust.
united nations,"The United Nations is keeping the peace in 16 countries, often in partnership with regional organizations such as NATO."
united nations,The United Nations record of service has left a legacy of sacrifice.
united nations,"The United Nations cannot build nations, but it can help them build themselves."
united nations,"The United Nations must lead, and it has led - from the United Nations Special Commission in Iraq to the International Atomic Energy Agency.
"
united nations,The United Nations must be prepared to respond - not only by setting standards but by implementing them.
united nations,"To punish those responsible for crimes against humanity, we must maintain our strong support for the United Nations war-crime tribunals and truth commissions.
"
united nations,The United States welcomes the Secretary General's efforts to strengthen the role of human rights within the United Nations system.
united nations,"The United Nations must focus even more on shifting resources from handouts to ""hand ups""
The United Nations must continue to lead in ensuring that today's progress does not come at tomorrow's expense."
united nations,Last week Ted Turner made a remarkable donation to strengthen the United Nations development and humanitarian programmes.
united nations,The United States was a founder of the                United Nations.
united nations,"The U.S. is committed to seeing theipientUnited Nations succeed in the twenty-first century.
"
united nations,U.S. mmitment to the United Nations and to America's role within it.
international,"We are all vulnerable to rogue States and to an unholy axis of terrorists, drug traffickers and international criminals.
"
international,NATO and its partners are setting the international ground rules for the twenty-first century.
international,"The United Nations must lead, and it has led - from the United Nations Special Commission in Iraq to the International Atomic Energy Agency.
"
international,"Innovative partnerships with the private sector, non-governmental organizations and international financial institutions can leverage its effectiveness.
"
nato,NATO and its partners are setting the international ground rules for the twenty-first century.
nato,"NATO's Partnership for Peace and its partnerships with Russia and Ukraine are key to this.
"
nato,"The United Nations is keeping the peace in 16 countries, often in partnership with regional organizations such as NATO."
week,"The Security Council will hold a meeting this week to discuss peacekeeping.
"
week,This week the Security Council will hold an unprecedented ministerial meeting on African security.
week,Last week Ted Turner made a remarkable donation to strengthen the United Nations development and humanitarian programmes.
organizations,"The United Nations is keeping the peace in 16 countries, often in partnership with regional organizations such as NATO."
organizations,"The U.N. is keeping the peace in 16 countries, often in partnership with regional organizations."
organizations,"Innovative partnerships with the private sector, non-governmental organizations and international financial institutions can leverage its effectiveness.
"
years,"Five years ago, when I firstaddressed this Assembly, the cold war had only just ended."
years,For 50 years the United Nations has helped prevent world war and nuclear holocaust.
years,Two years ago I called upon all the members of thisAssembly to join in the fight against these forces.
institutions,"Nations have begun to put that strategy in place through a new network of institutions andarrangements, with distinct missions, but a common purpose."
institutions,"Innovative partnerships with the private sector, non-governmental organizations and international financial institutions can leverage its effectiveness.
"
common,"Nations have begun to put that strategy in place through a new network of institutions andarrangements, with distinct missions, but a common purpose."
common,The spread of these global criminal syndicates has made all the more urgent our common quest toeliminate weapons of mass destruction.
nations development,Last week Ted Turner made a remarkable donation to strengthen the United Nations development and humanitarian programmes.
city,"Behind us, we leave a century full of humanity's capacity                for the worst and its genius for the best.
"
city,"In a world that links rich and poor, North and South, city and countryside in anelectronic network of shared images in real time, the more people who do not enjoy them will demand them.
"
network,"Nations have begun to put that strategy in place through a new network of institutions andarrangements, with distinct missions, but a common purpose."
network,"In a world that links rich and poor, North and South, city and countryside in anelectronic network of shared images in real time, the more people who do not enjoy them will demand them.
"
network,We are building the necessary networks of cooperation.
produce growing,"The U.N. has a special responsibility to ensure that as the global economy creates greater wealth, it does not produce growing disparities.
"
discuss peacekeeping,"The Security Council will hold a meeting this week to discuss peacekeeping.
"
strongly,"We also strongly support expanding the Security Council to give more countries avoice.
"
year,"Five years ago, when I firstaddressed this Assembly, the cold war had only just ended."
year,For 50 years the United Nations has helped prevent world war and nuclear holocaust.
year,"Just since the end of the cold war, each year there have been more than 30 armed conflicts in which more than 1,000 people have lost their lives.
"
year,Two years ago I called upon all the members of thisAssembly to join in the fight against these forces.
year,ug syndicates drain up to $750 billion a year from legitimate economies.
ensure,"The U.N. has a special responsibility to ensure that as the global economy creates greater wealth, it does not produce growing disparities.
"
rich,"In a world that links rich and poor, North and South, city and countryside in anelectronic network of shared images in real time, the more people who do not enjoy them will demand them.
"
toeliminate weapons,The spread of these global criminal syndicates has made all the more urgent our common quest toeliminate weapons of mass destruction.
groups threaten,"These groups threaten to undermine confidence in the fragile new democracies and market economies that so many of you are working so hard to see endure.
"
begun,"Nations have begun to put that strategy in place through a new network of institutions andarrangements, with distinct missions, but a common purpose."
demand,"In a world that links rich and poor, North and South, city and countryside in anelectronic network of shared images in real time, the more people who do not enjoy them will demand them.
"
developing,"It will help prevent the nuclear Powers from developing more advanced and dangerous weapons.
"
confidence,"These groups threaten to undermine confidence in the fragile new democracies and market economies that so many of you are working so hard to see endure.
"
rights,"Human rights have become a reality for more people than ever, from Asia to Africa, from Europe to the Americas."
rights,The United States welcomes the Secretary General's efforts to strengthen the role of human rights within the United Nations system.
economy creates,"The U.N. has a special responsibility to ensure that as the global economy creates greater wealth, it does not produce growing disparities.
"
tiniest,Science is unravelling Mysteries in the tiniest of human genes and in the vast cosmos.
arms control,"Nuclear-Test-Ban Treaty (CTBT) is the longest-sought, hardest-fought prize in the history of arms control."
democracies,"These groups threaten to undermine confidence in the fragile new democracies and market economies that so many of you are working so hard to see endure.
"
focus,"The United Nations must focus even more on shifting resources from handouts to ""hand ups""
The United Nations must continue to lead in ensuring that today's progress does not come at tomorrow's expense."
human history,"Never in the course of human history have we had a greater opportunity to make our people healthier, wiser and protect our planet.
"
countryside,"In a world that links rich and poor, North and South, city and countryside in anelectronic network of shared images in real time, the more people who do not enjoy them will demand them.
"
great question,The great question is whether we have the vision and the heart necessary to imagine a future that is different from the past.
hold,"The Security Council will hold a meeting this week to discuss peacekeeping.
"
hold,This week the Security Council will hold an unprecedented ministerial meeting on African security.
hand ups,"The United Nations must focus even more on shifting resources from handouts to ""hand ups""
The United Nations must continue to lead in ensuring that today's progress does not come at tomorrow's expense."
carry,We will work hard to make sure that Mary Robinson has the support she needs to carry out her mandate.
resources,"The United Nations must focus even more on shifting resources from handouts to ""hand ups""
The United Nations must continue to lead in ensuring that today's progress does not come at tomorrow's expense."
imagine,The great question is whether we have the vision and the heart necessary to imagine a future that is different from the past.
quest toeliminate,The spread of these global criminal syndicates has made all the more urgent our common quest toeliminate weapons of mass destruction.
creates,"The U.N. has a special responsibility to ensure that as the global economy creates greater wealth, it does not produce growing disparities.
"
global era,The United Nations must play a leading role in filling in the fault lines of the new global era.
age,The information age is chipping away at barriers that once kept people locked in.
age,"The United Nations must lead, and it has led - from the United Nations Special Commission in Iraq to the International Atomic Energy Agency.
"
age,"In a world that links rich and poor, North and South, city and countryside in anelectronic network of shared images in real time, the more people who do not enjoy them will demand them.
"
age,"Innovative partnerships with the private sector, non-governmental organizations and international financial institutions can leverage its effectiveness.
"
intelligence,Our intelligence and law enforcement communities are tracking terrorist networks.
people,"But many people see us as a symbol of a system and values they reject.
"
people,Terrorism is a clear and present danger to tolerant and open societies and innocent people everywhere.
people,No one in this room nor the people represented here is immune.
people,"Not the people of Japan, who were poisoned by sarin gas in the Tokyo subway."
people,"Poverty, inequality and masses of disenfranchised young people are fertile fields for the terrorists.
"
people,"Poverty, inequality and disenfranchised young people are fertile fields for theiren call of terrorists and their claims of advancing social justice."
important,"There are important Differences that cross race and culture and religion' 'We will remain on a course offriendship with and respect for the Muslim world' 'When it comes to terrorism, there should be no dividing line between Mu'
When it comes to terrorism, there should be no dividing line between Muslims and Jews, Protestants and Catholics."
important,"It is very, very important that we do this together.
"
overblown,"Some argue that the problem is overblown, saying that the number of deaths from terrorism is comparatively small."
threatens,"Global economic turmoil threatens to undermine confidence in free markets.
"
line,Terrorism’s principal fault line is on what they see as an inevitable clash of civilizations.
line,"There are important Differences that cross race and culture and religion' 'We will remain on a course offriendship with and respect for the Muslim world' 'When it comes to terrorism, there should be no dividing line between Mu'
When it comes to terrorism, there should be no dividing line between Muslims and Jews, Protestants and Catholics."
line,"The only dividing line is between those who practise, support or tolerate terror and those who understand that it is murder, plain and simple.
"
nation,"The United Nations is actively mediating crises before they explode into war, all around the world."
nation,Ban: Americans who devoted their lives to building bridges between nations died in a campaign of hatred against the United States.
nation,"We are blessed to be a wealthy nation, with a powerful military and a worldwide presence.
"
nation,"U.S. is blessed to be a wealthy nation, with a powerful military and a worldwide presence active in promoting peace and security."
nation,Developed nations have an obligation to help developing nations stay on the path of prosperity.
nation,"We will also do our part to address the sources ofdespair and alienation through the Agency for International Development in Africa, in Asia, in Latin America, in Eastern Europe, in Haiti and elsewhere."
nation,"We will continue our strong support for the United Nations DevelopmentProgramme.
"
nation,"The fight will not be easy, but every nation will bestrengthened in joining it."
ireland,Peace has come to Northern Ireland after 29 long years.
ireland,Northern Ireland was a crucial factor in the Good Friday Agreement.
ireland,Omagh bombing came as peace was succeeding in Northern Ireland.
terror,U.N. Secretary-General Ban Ki-moon: U.S. citizens have been targeted by terrorists over the last 15 years.
terror,Terrorism is a clear and present danger to tolerant and open societies and innocent people everywhere.
terror,"Taking risks for peace, to weaken our own own opposition to terrorism, would hand the enemies of peace a victory they must never have.
"
terror,Terror has become the world’s problem.
terror,"Some argue that the problem is overblown, saying that the number of deaths from terrorism is comparatively small."
terror,"In the Middle East whenever we get close to another step towards peace, its enemies respond with terror."
terror,"Poverty, inequality and masses of disenfranchised young people are fertile fields for the terrorists.
"
terror,"Poverty, inequality and disenfranchised young people are fertile fields for theiren call of terrorists and their claims of advancing social justice."
terror,Terrorism’s principal fault line is on what they see as an inevitable clash of civilizations.
terror,"There are important Differences that cross race and culture and religion' 'We will remain on a course offriendship with and respect for the Muslim world' 'When it comes to terrorism, there should be no dividing line between Mu'
When it comes to terrorism, there should be no dividing line between Muslims and Jews, Protestants and Catholics."
terror,"The only dividing line is between those who practise, support or tolerate terror and those who understand that it is murder, plain and simple.
"
terror,Our intelligence and law enforcement communities are tracking terrorist networks.
political objectives,"False prophets may use and abuse any religion to justify whatever political objectives they have.
"
deprivation,"But deprivation cannot justify destruction; nor can inequity ever atone for murder.
"
argue,"Some argue that the problem is overblown, saying that the number of deaths from terrorism is comparatively small."
fertile,"Poverty, inequality and masses of disenfranchised young people are fertile fields for the terrorists.
"
fertile,"Poverty, inequality and disenfranchised young people are fertile fields for theiren call of terrorists and their claims of advancing social justice."
nations stay,Developed nations have an obligation to help developing nations stay on the path of prosperity.
hand,"Taking risks for peace, to weaken our own own opposition to terrorism, would hand the enemies of peace a victory they must never have.
"
values,"But many people see us as a symbol of a system and values they reject.
"
open institutions,"Every bomb, every bomb, has an insidious effect on free and open institutions."
ofdespair,"We will also do our part to address the sources ofdespair and alienation through the Agency for International Development in Africa, in Asia, in Latin America, in Eastern Europe, in Haiti and elsewhere."
continue,"We will continue our strong support for the United Nations DevelopmentProgramme.
"
peace,Peace has come to Northern Ireland after 29 long years.
peace,"U.S. is blessed to be a wealthy nation, with a powerful military and a worldwide presence active in promoting peace and security."
peace,"Taking risks for peace, to weaken our own own opposition to terrorism, would hand the enemies of peace a victory they must never have.
"
peace,"Not the Palestinians and Israelis, who still die year after year for all their progress towards peace.
"
peace,"Each violent act saps the confidence that is socrucial to peace and prosperity.
"
peace,Omagh bombing came as peace was succeeding in Northern Ireland.
peace,"In the Middle East whenever we get close to another step towards peace, its enemies respond with terror."
terrorists,U.N. Secretary-General Ban Ki-moon: U.S. citizens have been targeted by terrorists over the last 15 years.
terrorists,"Poverty, inequality and masses of disenfranchised young people are fertile fields for the terrorists.
"
terrorists,"Poverty, inequality and disenfranchised young people are fertile fields for theiren call of terrorists and their claims of advancing social justice."
fields,"Poverty, inequality and masses of disenfranchised young people are fertile fields for the terrorists.
"
fields,"Poverty, inequality and disenfranchised young people are fertile fields for theiren call of terrorists and their claims of advancing social justice."
joining,"The fight will not be easy, but every nation will bestrengthened in joining it."
palestinians,"Not the Palestinians and Israelis, who still die year after year for all their progress towards peace.
"
